0;-0,13
0,008;-0,13
0,016;-0,13
0,024;-0,13
0,032;-0,13
0,04;-0,13
0,048;-0,13
0,056;-0,13
0,064;-0,13
0,072;-0,13
0,08;-0,13
0,088;-0,13
0,096;-0,13
0,104;-0,13
0,112;-0,13
0,12;-0,13
0,128;-0,13
0,136;-0,13
0,144;-0,13
0,152;-0,13
0,16;-0,13
0,168;-0,13
0,176;-0,13
0,184;-0,13
0,192;-0,13
0,2;-0,13
0,208;-0,13
0,216;-0,13
0,224;-0,13
0,232;-0,13
0,24;-0,13
0,248;-0,13
0,256;-0,13
0,264;-0,13
0,272;-0,13
0,28;-0,13
0,288;-0,13
0,296;-0,13
0,304;-0,13
0,312;-0,13
0,32;-0,13
0,328;-0,13
0,336;-0,13
0,344;-0,13
0,352;-0,13
0,36;-0,13
0,368;-0,13
0,376;-0,13
0,384;-0,13
0,392;-0,13
0,4;-0,13
0,408;-0,13
0,416;-0,13
0,424;-0,13
0,432;-0,13
0,44;-0,13
0,448;-0,13
0,456;-0,13
0,464;-0,13
0,472;-0,13
0,48;-0,13
0,488;-0,13
0,496;-0,13
0,504;-0,13
0,512;-0,13
0,52;-0,13
0,528;-0,13
0,536;-0,13
0,544;-0,13
0,552;-0,13
0,56;-0,13
0,568;-0,13
0,576;-0,13
0,584;-0,13
0,592;-0,13
0,6;-0,13
0,608;-0,13
0,616;-0,13
0,624;-0,13
0,632;-0,13
0,64;-0,13
0,648;-0,13
0,656;-0,13
0,664;-0,13
0,672;-0,13
0,68;-0,13
0,688;-0,13
0,696;-0,13
0,704;-0,13
0,712;-0,13
0,72;-0,13
0,728;-0,13
0,736;-0,13
0,744;-0,13
0,752;-0,13
0,76;-0,13
0,768;-0,13
0,776;-0,13
0,784;-0,13
0,792;-0,13
0,8;-0,13
0,808;-0,13
0,816;-0,13
0,824;-0,13
0,832;-0,13
0,84;-0,13
0,848;-0,13
0,856;-0,13
0,864;-0,13
0,872;-0,13
0,88;-0,13
0,888;-0,13
0,896;-0,13
0,904;-0,13
0,912;-0,13
0,92;-0,13
0,928;-0,13
0,936;-0,13
0,944;-0,13
0,952;-0,13
0,96;-0,13
0,968;-0,13
0,976;-0,13
0,984;-0,13
0,992;-0,13
1;-0,13
1,008;-0,13
1,016;-0,13
1,024;-0,13
1,032;-0,13
1,04;-0,13
1,048;-0,13
1,056;-0,13
1,064;-0,13
1,072;-0,13
1,08;-0,13
1,088;-0,13
1,096;-0,13
1,104;-0,13
1,112;-0,13
1,12;-0,13
1,128;-0,13
1,136;-0,13
1,144;-0,13
1,152;-0,13
1,16;-0,13
1,168;-0,13
1,176;-0,13
1,184;-0,13
1,192;-0,13
1,2;-0,13
1,208;-0,13
1,216;-0,13
1,224;-0,13
1,232;-0,13
1,24;-0,13
1,248;-0,13
1,256;-0,13
1,264;-0,13
1,272;-0,13
1,28;-0,13
1,288;-0,13
1,296;-0,13
1,304;-0,13
1,312;-0,13
1,32;-0,13
1,328;-0,13
1,336;-0,13
1,344;-0,13
1,352;-0,13
1,36;-0,13
1,368;-0,13
1,376;-0,13
1,384;-0,13
1,392;-0,13
1,4;-0,13
1,408;-0,13
1,416;-0,13
1,424;-0,13
1,432;-0,13
1,44;-0,13
